"","common","sciname","source","iucn_sid","rgn_id","status","status_scale","rgn_name","state_name","score","year"
"1",NA,"Abyssobrotula galatheae","IUCN",60469175,1,NA,NA,"Offshore",NA,NA,2017
"2",NA,"Abyssobrotula galatheae","IUCN",60469175,2,NA,NA,"Georges Bank",NA,NA,2017
"3",NA,"Abyssobrotula galatheae","IUCN",60469175,3,NA,NA,"Gulf of Maine",NA,NA,2017
"4",NA,"Abyssobrotula galatheae","IUCN",60469175,4,NA,NA,"Mid-Atlantic Bight",NA,NA,2017
"5",NA,"Abyssobrotula galatheae","IUCN",60469175,5,NA,NA,"Connecticut","Connecticut",NA,2017
"6",NA,"Abyssobrotula galatheae","IUCN",60469175,6,NA,NA,"Maine","Maine",NA,2017
"7",NA,"Abyssobrotula galatheae","IUCN",60469175,7,NA,NA,"Massachusetts-North","Massachusetts",NA,2017
"8",NA,"Abyssobrotula galatheae","IUCN",60469175,8,NA,NA,"Massachusetts-South","Massachusetts",NA,2017
"9",NA,"Abyssobrotula galatheae","IUCN",60469175,9,NA,NA,"New Hampshire","New Hampshire",NA,2017
"10",NA,"Abyssobrotula galatheae","IUCN",60469175,10,NA,NA,"New York","New York",NA,2017
"11",NA,"Abyssobrotula galatheae","IUCN",60469175,11,NA,NA,"Rhode Island","Rhode Island",NA,2017
"12",NA,"Abyssobrotula galatheae","IUCN",60469175,12,NA,NA,NA,NA,NA,2017
"13",NA,"Abyssobrotula galatheae","IUCN",60469175,13,"LC","IUCN",NA,NA,0,2017
"14",NA,"Ahliesaurus berryi","IUCN",13485141,1,NA,NA,"Offshore",NA,NA,2017
"15",NA,"Ahliesaurus berryi","IUCN",13485141,2,NA,NA,"Georges Bank",NA,NA,2017
"16",NA,"Ahliesaurus berryi","IUCN",13485141,3,NA,NA,"Gulf of Maine",NA,NA,2017
"17",NA,"Ahliesaurus berryi","IUCN",13485141,4,NA,NA,"Mid-Atlantic Bight",NA,NA,2017
