"","year","score","rgn_id","rgn_name"
"1",2005,0.148148148148148,"5","Connecticut"
"2",2005,0.555555555555556,"7","Massachusetts-North"
"3",2005,0.0925925925925926,"6","Maine"
"4",2005,0.0555555555555556,"9","New Hampshire"
"5",2005,0.666666666666667,"10","New York"
"6",2005,0.037037037037037,"11","Rhode Island"
"7",2006,0.166666666666667,"5","Connecticut"
"8",2006,0.0925925925925926,"7","Massachusetts-North"
"9",2006,0.148148148148148,"6","Maine"
"10",2006,0.0925925925925926,"9","New Hampshire"
"11",2006,0.685185185185185,"10","New York"
"12",2006,0.0185185185185185,"11","Rhode Island"
"13",2007,0.259259259259259,"5","Connecticut"
"14",2007,0.111111111111111,"7","Massachusetts-North"
"15",2007,0.111111111111111,"6","Maine"
"16",2007,0.12962962962963,"9","New Hampshire"
"17",2007,0.555555555555556,"10","New York"
"18",2007,0.037037037037037,"11","Rhode Island"
"19",2008,0.148148148148148,"5","Connecticut"
"20",2008,0.203703703703704,"7","Massachusetts-North"
"21",2008,0.148148148148148,"6","Maine"
"22",2008,0.037037037037037,"9","New Hampshire"
"23",2008,0.703703703703704,"10","New York"
"24",2009,0.148148148148148,"5","Connecticut"
"25",2009,0.111111111111111,"7","Massachusetts-North"
"26",2009,0.277777777777778,"6","Maine"
"27",2009,0.0740740740740741,"9","New Hampshire"
"28",2009,0.574074074074074,"10","New York"
"29",2009,0.0925925925925926,"11","Rhode Island"
"30",2010,0.222222222222222,"5","Connecticut"
"31",2010,0.0925925925925926,"7","Massachusetts-North"
"32",2010,0.0740740740740741,"6","Maine"
"33",2010,0.0185185185185185,"9","New Hampshire"
"34",2010,0.611111111111111,"10","New York"
"35",2010,0.037037037037037,"11","Rhode Island"
"36",2011,0.222222222222222,"5","Connecticut"
"37",2011,0.0555555555555556,"7","Massachusetts-North"
"38",2011,0.12962962962963,"6","Maine"
"39",2011,0.0185185185185185,"9","New Hampshire"
"40",2011,0.703703703703704,"10","New York"
"41",2011,0.0185185185185185,"11","Rhode Island"
"42",2012,0.0740740740740741,"5","Connecticut"
"43",2012,0.0185185185185185,"7","Massachusetts-North"
"44",2012,0.0555555555555556,"6","Maine"
"45",2012,0.0185185185185185,"9","New Hampshire"
"46",2012,0.611111111111111,"10","New York"
"47",2013,0.111111111111111,"5","Connecticut"
"48",2013,0.037037037037037,"7","Massachusetts-North"
"49",2013,0.0740740740740741,"6","Maine"
"50",2013,0.037037037037037,"9","New Hampshire"
"51",2013,0.537037037037037,"10","New York"
"52",2014,0.0555555555555556,"5","Connecticut"
"53",2014,0.0925925925925926,"7","Massachusetts-North"
"54",2014,0.037037037037037,"6","Maine"
"55",2014,0.0185185185185185,"9","New Hampshire"
"56",2014,0.5,"10","New York"
"57",2014,0.0185185185185185,"11","Rhode Island"
"58",2015,0.111111111111111,"5","Connecticut"
"59",2015,0.203703703703704,"7","Massachusetts-North"
"60",2015,0.0740740740740741,"6","Maine"
"61",2015,0.0555555555555556,"9","New Hampshire"
"62",2015,0.425925925925926,"10","New York"
"63",2015,0.0925925925925926,"11","Rhode Island"
"64",2016,0.0740740740740741,"5","Connecticut"
"65",2016,0.148148148148148,"7","Massachusetts-North"
"66",2016,0.0185185185185185,"6","Maine"
"67",2016,0.166666666666667,"9","New Hampshire"
"68",2016,0.37037037037037,"10","New York"
"69",2016,0.0185185185185185,"11","Rhode Island"
"70",2017,0.037037037037037,"5","Connecticut"
"71",2017,0.0925925925925926,"7","Massachusetts-North"
"72",2017,0.0185185185185185,"6","Maine"
"73",2017,0.0555555555555556,"9","New Hampshire"
"74",2017,0.277777777777778,"10","New York"
"75",2017,0.0185185185185185,"11","Rhode Island"
"76",2005,0.555555555555556,"8","Massachusetts-South"
"77",2006,0.0925925925925926,"8","Massachusetts-South"
"78",2007,0.111111111111111,"8","Massachusetts-South"
"79",2008,0.203703703703704,"8","Massachusetts-South"
"80",2009,0.111111111111111,"8","Massachusetts-South"
"81",2010,0.0925925925925926,"8","Massachusetts-South"
"82",2011,0.0555555555555556,"8","Massachusetts-South"
"83",2012,0.0185185185185185,"8","Massachusetts-South"
"84",2013,0.037037037037037,"8","Massachusetts-South"
